Name,Wkts,Avg,Eco,SR
Imran Tahir,26,16.57,6.69,14.84
Kagiso Rabada,25,14.72,7.82,11.28
Deepak Chahar,22,21.9,7.47,17.59
Shreyas Gopal,20,17.35,7.22,14.4
Jasprit Bumrah,19,21.52,6.63,19.47
Khaleel Ahmed,19,15.1,8.23,11
Mohammad Shami,19,24.68,8.68,17.05
Yuzvendra Chahal,18,21.44,7.82,16.44
Rashid Khan,17,22.17,6.28,21.17
Harbhajan Singh,16,19.5,7.09,16.5
Lasith Malinga,16,27.37,9.76,16.81
Ravindra Jadeja,15,22.86,6.35,21.6
Ravichandran Ashwin,15,26.66,7.27,22
Hardik Pandya,14,27.85,9.17,18.21
Rahul Chahar,13,23.69,6.55,21.69
Ishant Sharma,13,26.84,7.58,21.23
Bhuvneshwar Kumar,13,35.46,7.81,27.23
Chris Morris,13,23.53,9.27,15.23
Krunal Pandya,12,27.91,7.28,23
Sandeep Sharma,12,29.33,8.25,21.33
Amit Mishra,11,24.54,6.75,21.81
Jofra Archer,11,26.45,6.76,23.45
Dwayne Bravo,11,30,8.01,22.45
Navdeep Saini,11,36.09,8.27,26.18
Andre Russell,11,26.09,9.51,16.45
Axar Patel,10,36.4,7.13,30.6
Sunil Narine,10,34.7,7.82,26.6
Piyush Chawla,10,39.9,8.96,26.7
Sam Curran,10,32.3,9.78,19.8
Jaydev Unadkat,10,39.8,10.66,22.4
Keemo Paul,9,26.33,8.72,18.11
Mohammad Nabi,8,24.25,6.65,21.87
Sandeep Lamichhane,8,26.25,9.13,17.25
Shardul Thakur,8,35.12,9.36,22.5
Umesh Yadav,8,46.37,9.8,28.37
Harry Gurney,7,34,8.81,23.14
Mohammed Siraj,7,38.42,9.55,24.14
Hardus Viljoen,7,31.71,9.65,19.71
Moeen Ali,6,28.16,6.76,25
Siddarth Kaul,6,40.33,8.96,27
Dhawal Kulkarni,6,55.83,9.57,35
Alzarri Joseph,6,14.5,10.03,8.66
Ben Stokes,6,31.5,11.22,16.83
Murugan Ashwin,5,51,7.5,40.8
Oshane Thomas,5,15.8,7.9,12
Trent Boult,5,32.6,8.57,22.8
Jason Behrendorff,5,33,8.68,22.8
Mitchell Santner,4,23.5,6.71,21
Washington Sundar,4,18.5,8.22,13.5
Dale Steyn,4,17.25,8.62,12

